Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model Y Standard Range,"44,390",2025,4,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Standard Range,"44,490",2024,"6,282",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Standard Range,"44,590",2024,"6,998",Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Standard Range,"44,715",2025,5,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Standard Range,"44,715",2024,0,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Standard Range,"44,895",2025,0,Desconocido,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Standard Range,"44,970",2024,"5,091",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Standard Range,"45,035",2024,0,Desconocido,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package, #19"" sport wheels"
Tesla Model Y Long Range AWD,"45,400",2023,"10,713",Red,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #red multi-coat color, #19"" sport wheels"
Tesla Model Y Long Range RWD,"45,490",2024,"16,846",Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #quicksilver color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"45,500",2022,"36,306",Silver,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #20"" performance wheels"
Tesla Model Y Standard Range,"45,525",2024,"5,023",Desconocido,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #quicksilver color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"45,540",2024,"8,099",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Standard Range,"45,560",2025,0,Blue,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model Y Long Range RWD,"45,560",2024,"7,996",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Standard Range,"45,630",2024,3,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Standard Range,"45,750",2024,"1,317",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Standard Range,"45,795",2024,0,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Standard Range,"45,795",2024,16,Blue,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Standard Range,"45,935",2024,7,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package, #20"" performance wheels"
Tesla Model Y Standard Range,"45,990",2024,"5,128",Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Standard Range,"46,115",2024,12,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color, #tow package, #19"" sport wheels"
Tesla Model Y Standard Range,"46,495",2025,4,White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"46,500",2022,"31,967",White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"46,500",2022,"32,157",White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Standard Range,"46,790",2024,"1,011",Red,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color, #tow package, #19"" sport wheels"
Tesla Model Y Performance,"46,800",2023,"48,582",Black,Spain,"#spain, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range RWD,"46,830",2024,"4,075",Red,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Long Range RWD,"46,930",2024,"1,991",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"46,990",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"47,000",2022,"28,496",White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"47,000",2022,"28,755",White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Long Range RWD,"47,080",2024,"3,293",Red,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #midnight cherry red color, #19"" sport wheels"
Tesla Model Y Long Range RWD,"47,580",2024,"4,462",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Standard Range,"47,660",2025,4,Blue,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"47,850",2024,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"47,990",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"48,110",2023,"7,085",White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"48,180",2025,4,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range RWD,"48,210",2024,"2,376",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range RWD,"48,210",2024,"2,946",Red,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #midnight cherry red color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"48,800",2023,"11,184",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Performance,"48,800",2022,"20,423",White,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"48,895",2023,"5,218",White,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Long Range RWD,"49,030",2024,"3,274",Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #quicksilver color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"49,040",2023,"2,036",White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"49,160",2025,2,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"49,180",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"49,180",2024,6,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"49,230",2024,5,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"49,290",2025,0,Blue,France,"#france, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model Y Long Range AWD,"49,290",2024,4,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"49,290",2024,145,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"49,300",2024,"3,169",Red,France,"#france, #autopilot, #premium connectivity, #left hand drive, #midnight cherry red color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"49,340",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"49,340",2024,4,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range RWD,"49,410",2025,0,Blue,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model Y Long Range RWD,"49,790",2024,211,White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range RWD,"49,830",2024,26,White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"49,840",2024,400,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"49,890",2024,7,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"49,970",2024,"3,723",Desconocido,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"49,975",2025,4,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"49,995",2023,"5,887",Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"50,090",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"50,160",2024,9,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"50,375",2025,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"50,480",2025,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range RWD,"50,500",2024,"4,041",Red,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #midnight cherry red color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"50,530",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"50,530",2024,4,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"50,560",2024,"3,179",White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"50,590",2025,0,Desconocido,France,"#france, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Performance,"50,600",2022,"14,953",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range AWD,"50,640",2025,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model Y Long Range AWD,"50,875",2024,"6,214",White,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"50,940",2025,2,Red,France,"#france, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color, #tow package"
Tesla Model Y Long Range AWD,"51,020",2024,"2,501",Blue,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"51,070",2024,5,Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #quicksilver color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"51,280",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"51,390",2025,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"51,390",2025,2,Blue,France,"#france, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"51,405",2024,"2,545",Black,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #solid black color, #tow package, #19"" sport wheels"
Tesla Model Y Long Range AWD,"51,420",2024,"2,857",Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model Y Long Range AWD,"51,440",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"51,515",2025,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"51,655",2025,4,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"51,655",2024,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #19"" sport wheels"
Tesla Model Y Long Range AWD,"51,655",2024,12,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #19"" sport wheels"
Tesla Model Y Long Range RWD,"51,740",2025,4,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"51,760",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"51,780",2025,0,Desconocido,France,"#france, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Long Range AWD,"51,830",2025,2,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model Y Long Range AWD,"51,940",2025,0,Desconocido,France,"#france, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package"
Tesla Model Y Long Range RWD,"52,435",2024,"4,586",Desconocido,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Long Range AWD,"52,550",2024,"1,520",Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"52,580",2025,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"52,580",2024,7,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range RWD,"52,625",2025,0,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model Y Long Range AWD,"52,630",2024,7,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"52,635",2024,"3,709",Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"52,690",2024,5,Red,France,"#france, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"52,810",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"52,980",2025,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range AWD,"53,050",2024,26,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"53,060",2025,0,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range AWD,"53,060",2024,12,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"53,090",2025,4,Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range AWD,"53,090",2024,10,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #19"" sport wheels"
Tesla Model Y Performance,"53,510",2024,9,Black,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range RWD,"53,575",2024,5,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"53,795",2024,0,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #20"" performance wheels"
Tesla Model Y Performance,"53,990",2025,0,White,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"54,035",2024,4,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model Y Long Range AWD,"54,125",2025,0,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color, #tow package"
Tesla Model Y Long Range AWD,"54,280",2025,5,Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Performance,"54,770",2024,0,Red,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Performance,"54,770",2024,59,Desconocido,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Long Range AWD,"54,910",2024,565,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"55,005",2024,"3,976",Blue,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"55,070",2025,7,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"55,070",2024,10,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"55,070",2023,28,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Performance,"55,180",2024,0,White,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Performance,"55,220",2024,"2,276",White,Spain,"#spain, #carbon fibre spoiler, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"55,230",2024,4,Red,France,"#france, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color, #tow package, #20"" performance wheels"
Tesla Model Y Performance,"55,290",2025,0,Black,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Performance,"55,290",2025,4,Blue,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model Y Performance,"55,340",2024,0,White,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"55,455",2025,4,White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"55,460",2024,9,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Performance,"55,710",2024,0,White,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Performance,"56,080",2024,9,Desconocido,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package"
Tesla Model Y Long Range AWD,"56,215",2024,0,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"56,230",2024,831,Desconocido,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package, #20"" performance wheels"
Tesla Model Y Long Range AWD,"56,420",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #20"" performance wheels"
Tesla Model Y Performance,"56,440",2025,7,Desconocido,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Performance,"56,480",2025,2,Black,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Performance,"56,590",2025,0,Desconocido,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Performance,"56,590",2024,12,Red,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Performance,"56,640",2025,0,Black,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model Y Performance,"56,810",2024,612,Blue,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model Y Long Range AWD,"56,920",2025,4,Desconocido,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package"
Tesla Model Y Performance,"56,950",2024,10,Desconocido,Spain,"#spain, #carbon fibre spoiler, #autopilot, #premium connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Performance,"56,950",2024,95,Desconocido,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Performance,"57,700",2024,10,Black,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Performance,"57,780",2025,0,Red,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Performance,"57,940",2025,2,Desconocido,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package"
Tesla Model Y Performance,"58,500",2024,7,White,Spain,"#spain, #carbon fibre spoiler, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #tow package"
Tesla Model Y Long Range AWD,"58,735",2025,4,Black,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #20"" performance wheels"
Tesla Model Y Performance,"58,960",2024,179,Red,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
